Country or Area,Year,Value,Value Footnotes,Unit
Denmark(treated waste),2014,1819120,,tonnes
Denmark(treated waste),2012,977663,,tonnes
Denmark(treated waste),2010,1073218,,tonnes
Denmark(treated waste),2008,416095,,tonnes
Denmark(treated waste),2006,375562,,tonnes
Denmark(treated waste),2004,338334,,tonnes
Finland(treated waste),2014,1915719,,tonnes
Finland(treated waste),2012,1411308,,tonnes
Finland(treated waste),2010,1365767,,tonnes
Finland(treated waste),2008,2178038,,tonnes
Finland(treated waste),2006,2172452,,tonnes
Finland(treated waste),2004,2229060,,tonnes
Zimbabwe(treated waste),2014,10.5,,tonnes
Zimbabwe(treated waste),2012,37356.87891,,tonnes
Zimbabwe(treated waste),2010,45536.69922,,tonnes
Zimbabwe(treated waste),2008,20286.65039,,tonnes
Zimbabwe(treated waste),2006,24368.59961,,tonnes
Zimbabwe(treated waste),2004,21924.58008,,tonnes
Denmark(waste generated),2014,1718394,,tonnes
Denmark(waste generated),2012,1216905,,tonnes
Denmark(waste generated),2010,1224795,,tonnes
Denmark(waste generated),2008,419646,,tonnes
Denmark(waste generated),2006,372892,,tonnes
Denmark(waste generated),2004,319672,,tonnes
Finland(waste generated),2014,1998693,,tonnes
Finland(waste generated),2012,1653942,,tonnes
Finland(waste generated),2010,2559417,,tonnes
Finland(waste generated),2008,2163268,,tonnes
Finland(waste generated),2006,2710948,,tonnes
Finland(waste generated),2004,2153103,,tonnes
Zimbabwe(waste generated),2014,14328,3,tonnes
Zimbabwe(waste generated),2012,373567,3,tonnes
Zimbabwe(waste generated),2010,45537,4,tonnes
Zimbabwe(waste generated),2008,20287,4,tonnes
Zimbabwe(waste generated),2006,24369,4,tonnes
Zimbabwe(waste generated),2004,21925,4,tonnes
Austria(treated waste),2014,439247,,tonnes
Austria(treated waste),2012,338860,,tonnes
Austria(treated waste),2010,401082,,tonnes
Austria(treated waste),2008,395221,,tonnes
Austria(treated waste),2006,335042,,tonnes
Austria(treated waste),2004,861967,,tonnes
Austria(waste generated),2014,1272288,,tonnes
Austria(waste generated),2012,1065888,,tonnes
Austria(waste generated),2010,1472864,,tonnes
Austria(waste generated),2008,1329984,,tonnes
Austria(waste generated),2006,961899,,tonnes
Austria(waste generated),2004,1013727,,tonnes
