"Country or Area","Year","Value","Value Footnotes","Unit"
"China","2014","29908200","","tonnes"
"China","2012","27028500","","tonnes"
"China","2010","14895000","","tonnes"
"China","2008","12080000","","tonnes"
"China","2006","8550000","","tonnes"
"China","2004","6780000","","tonnes"
"Germany","2014","20521108","","tonnes"
"Germany","2012","21098396","","tonnes"
"Germany","2010","19046940","","tonnes"
"Germany","2008","23823844","","tonnes"
"Germany","2006","21743228","","tonnes"
"Germany","2004","20556732","","tonnes"
"Zimbabwe","2014","10.5","","tonnes"
"Zimbabwe","2012","37356.87891","","tonnes"
"Zimbabwe","2010","45536.69922","","tonnes"
"Zimbabwe","2008","20286.65039","","tonnes"
"Zimbabwe","2006","24368.59961","","tonnes"
"Zimbabwe","2004","21924.58008","","tonnes"
